GAME_DATE,SEASON_ID,Game_ID,Player_ID,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
2017-04-12,22016,0021601230,201582,NOP @ POR,W,25,5,12,0.417,0,0,0.0,1,1,1.0,1,6,7,0,1,0,3,3,11,2,1
2017-04-11,22016,0021601215,201582,NOP @ LAL,L,24,5,8,0.625,0,0,0.0,4,6,0.667,0,8,8,1,1,1,1,3,14,0,2
2017-04-08,22016,0021601195,201582,NOP @ GSW,L,29,8,14,0.571,0,0,0.0,1,1,1.0,1,5,6,1,0,0,0,5,17,-11,1
2017-04-07,22016,0021601184,201582,NOP @ DEN,L,28,7,10,0.7,0,1,0.0,1,1,1.0,4,3,7,0,1,1,1,4,15,-5,1
2017-04-04,22016,0021601158,201582,NOP vs. DEN,L,4,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,3,1
2017-03-27,22016,0021601102,201582,NOP @ UTA,L,8,2,3,0.667,0,0,0.0,0,1,0.0,0,2,2,0,0,1,2,2,4,-10,1
2017-03-26,22016,0021601095,201582,NOP @ DEN,W,19,3,6,0.5,0,0,0.0,0,0,0.0,3,6,9,0,2,1,0,1,6,20,1
2017-03-21,22016,0021601054,201582,NOP vs. MEM,W,14,0,3,0.0,0,0,0.0,0,0,0.0,3,7,10,0,0,0,0,1,0,-16,1
2017-03-17,22016,0021601024,201582,NOP vs. HOU,W,10,3,4,0.75,0,0,0.0,1,1,1.0,2,2,4,0,0,0,0,3,7,5,1
2017-03-15,22016,0021601007,201582,NOP @ MIA,L,8,2,2,1.0,0,0,0.0,0,0,0.0,1,2,3,1,0,0,0,0,4,6,1
2017-03-14,22016,0021601002,201582,NOP vs. POR,W,5,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,-4,1
2017-03-08,22016,0021600953,201582,NOP vs. TOR,L,9,4,4,1.0,0,0,0.0,1,1,1.0,1,1,2,0,0,0,0,2,9,-1,1
2017-03-06,22016,0021600944,201582,NOP @ UTA,L,17,0,2,0.0,0,0,0.0,1,2,0.5,2,2,4,1,1,0,2,2,1,4,1
2017-03-05,22016,0021600933,201582,NOP @ LAL,W,11,0,3,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,1,0,0,10,1
2017-03-01,22016,0021600900,201582,NOP vs. DET,W,19,4,7,0.571,0,0,0.0,2,2,1.0,1,7,8,0,0,3,0,4,10,9,1
2017-02-26,22016,0021600880,201582,NOP @ OKC,L,5,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,2,0,1,1
2017-02-15,22016,0021600840,201582,NOP @ MEM,W,35,3,6,0.5,0,0,0.0,6,8,0.75,2,8,10,0,3,2,3,4,12,2,1
2017-02-13,22016,0021600829,201582,NOP @ PHX,W,19,2,5,0.4,0,0,0.0,1,2,0.5,2,1,3,0,1,0,1,4,5,5,1
2017-01-12,22016,0021600586,201582,NOP @ BKN,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,1,1,0,2,1
2016-12-23,22016,0021600449,201582,NOP vs. MIA,W,21,2,5,0.4,0,0,0.0,1,2,0.5,2,2,4,0,1,0,0,0,5,-8,1
2016-12-21,22016,0021600433,201582,NOP vs. OKC,L,5,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,2,0,-2,1
2016-12-20,22016,0021600418,201582,NOP @ PHI,W,12,0,2,0.0,0,0,0.0,0,0,0.0,1,6,7,2,0,0,0,1,0,-2,1
2016-12-18,22016,0021600412,201582,NOP @ SAS,L,27,8,12,0.667,0,1,0.0,0,0,0.0,1,7,8,1,0,1,0,2,16,-6,1
2016-12-16,22016,0021600395,201582,NOP @ HOU,L,22,2,7,0.286,0,0,0.0,4,5,0.8,2,6,8,1,1,2,3,4,8,-5,1
2016-12-15,22016,0021600385,201582,NOP vs. IND,W,19,1,2,0.5,0,0,0.0,0,0,0.0,2,6,8,1,2,1,3,2,2,2,1
2016-12-13,22016,0021600371,201582,NOP vs. GSW,L,13,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,1,1,2,1,1,0,-11,1
2016-12-11,22016,0021600359,201582,NOP @ PHX,W,12,3,5,0.6,0,0,0.0,1,2,0.5,1,4,5,0,2,0,1,2,7,-6,1
2016-12-10,22016,0021600355,201582,NOP @ LAC,L,19,3,7,0.429,0,1,0.0,0,0,0.0,2,4,6,0,0,0,3,0,6,-16,1
2016-12-08,22016,0021600334,201582,NOP vs. PHI,L,14,4,6,0.667,0,0,0.0,0,0,0.0,1,3,4,0,0,0,0,4,8,-2,1
2016-12-05,22016,0021600310,201582,NOP vs. MEM,L,21,4,6,0.667,0,1,0.0,1,1,1.0,1,5,6,0,0,2,0,3,9,14,1
2016-12-02,22016,0021600287,201582,NOP vs. LAC,L,10,1,3,0.333,0,0,0.0,0,0,0.0,0,3,3,0,0,0,0,1,2,5,1
